Pathway_A,Pathway_B,Pathway_C,Pathway_D,Pathway_E,Pathway_F
MCM10,NIPBL,NSD1,PLK1,PLK1,POLB
MDM2,ORC1,NSD2,POLD1,PTEN,PTEN
MRE11,ORC2,NUP153,POLE,RAD50,RAD51
MYC,ORC3,NUP98,PTEN,RB1,RAD52
NBN,ORC4,ORC5,RAD21,RCC1,RAN
NUP153,PALB2,PALB2,RAN,RECQL,RB1
NUP98,PHC1,PARP1,RB1,RFC1,RFC2
PALB2,PIK3CA,PARP2,RCC1,RFC4,RFC3
PARP1,PLK1,PDS5A,RFC1,RFC5,RFC4
PARP2,POLD1,PDS5B,RFC2,STAG1,RFC5
PCNA,POLE,PHF8,RFC3,STAG2,SIRT1
POLB,PTEN,PIK3CA,SIRT1,TIPIN,SIRT2
PTEN,RAD21,POLB,SIRT2,TNPO1,TIPIN
RAD50,RAD50,POLD1,SLD5,TOPBP1,TOP1
RAD51,RAD51,POLE,SMC3,TP53,TOP2A
RAD52,RAD52,PTEN,TNPO1,TPX2,TOPBP1
RAN,RB1,RAD51,TP53,TTK,TP53
RB1,RBL1,RAD52,TTK,WEE1,TPX2
RCC1,RBL2,RAN,WEE1,XPO1,WAPL
RECQL,RCC1,RB1,XPO1,XRCC3,XRCC1
RFC1,RING1,SETD2,GENE4_001,GENE5_001,GENE6_001
RFC2,RNF2,SMC1A,GENE4_002,GENE5_002,GENE6_002
RFC3,SMC1A,TIPIN,GENE4_003,GENE5_003,GENE6_003
RFC4,SMC3,TOP2B,GENE4_004,GENE5_004,GENE6_004
RFC5,STAG1,TOPBP1,GENE4_005,GENE5_005,GENE6_005
SKP2,STAG2,TP53,GENE4_006,GENE5_006,GENE6_006
SLD5,TET3,TPX2,GENE4_007,GENE5_007,GENE6_007
SMARCA4,TFDP1,TTK,GENE4_008,GENE5_008,GENE6_008
SMARCB1,TNPO1,WEE1,GENE4_009,GENE5_009,GENE6_009
SMARCC1,TOP2B,WRN,GENE4_010,GENE5_010,GENE6_010
SP1,TP53,XPO1,GENE4_011,GENE5_011,GENE6_011
SUZ12,TTK,XRCC1,GENE4_012,GENE5_012,GENE6_012
TET1,WAPL,XRCC3,GENE4_013,GENE5_013,GENE6_013
TET2,WEE1,YY1,GENE4_014,GENE5_014,GENE6_014
TNPO1,WRN,GENE3_001,GENE4_015,GENE5_015,GENE6_015
TOP1,XRCC3,GENE3_002,GENE4_016,GENE5_016,GENE6_016
TOP2A,GENE2_001,GENE3_003,GENE4_017,GENE5_017,GENE6_017
TP53,GENE2_002,GENE3_004,GENE4_018,GENE5_018,GENE6_018
TPX2,GENE2_003,GENE3_005,GENE4_019,GENE5_019,GENE6_019
WEE1,GENE2_004,GENE3_006,GENE4_020,GENE5_020,GENE6_020
WRN,GENE2_005,GENE3_007,GENE4_021,GENE5_021,GENE6_021
XPO1,GENE2_006,GENE3_008,GENE4_022,GENE5_022,GENE6_022
XRCC1,GENE2_007,GENE3_009,GENE4_023,GENE5_023,GENE6_023
XRCC3,GENE2_008,GENE3_010,GENE4_024,GENE5_024,GENE6_024
GENE1_001,GENE2_009,GENE3_011,GENE4_025,GENE5_025,GENE6_025
GENE1_002,GENE2_010,GENE3_012,GENE4_026,GENE5_026,GENE6_026
GENE1_003,GENE2_011,GENE3_013,GENE4_027,GENE5_027,GENE6_027
GENE1_004,GENE2_012,GENE3_014,GENE4_028,GENE5_028,GENE6_028
GENE1_005,GENE2_013,GENE3_015,GENE4_029,GENE5_029,GENE6_029
GENE1_006,GENE2_014,GENE3_016,GENE4_030,GENE5_030,GENE6_030
GENE1_007,GENE2_015,GENE3_017,GENE4_031,GENE5_031,GENE6_031
GENE1_008,GENE2_016,GENE3_018,GENE4_032,GENE5_032,GENE6_032
GENE1_009,GENE2_017,GENE3_019,GENE4_033,GENE5_033,GENE6_033
GENE1_010,GENE2_018,GENE3_020,GENE4_034,GENE5_034,GENE6_034
GENE1_011,GENE2_019,GENE3_021,GENE4_035,GENE5_035,GENE6_035
GENE1_012,GENE2_020,GENE3_022,GENE4_036,GENE5_036,GENE6_036
GENE1_013,GENE2_021,GENE3_023,GENE4_037,GENE5_037,GENE6_037
GENE1_014,GENE2_022,GENE3_024,GENE4_038,GENE5_038,GENE6_038
GENE1_015,GENE2_023,GENE3_025,GENE4_039,GENE5_039,GENE6_039
GENE1_016,GENE2_024,GENE3_026,GENE4_040,GENE5_040,GENE6_040
GENE1_017,GENE2_025,GENE3_027,GENE4_041,GENE5_041,GENE6_041
GENE1_018,GENE2_026,GENE3_028,GENE4_042,GENE5_042,GENE6_042
GENE1_019,GENE2_027,GENE3_029,GENE4_043,GENE5_043,GENE6_043
GENE1_020,GENE2_028,GENE3_030,GENE4_044,GENE5_044,GENE6_044
GENE1_021,GENE2_029,GENE3_031,GENE4_045,GENE5_045,GENE6_045
GENE1_022,GENE2_030,GENE3_032,GENE4_046,GENE5_046,GENE6_046
GENE1_023,GENE2_031,GENE3_033,GENE4_047,GENE5_047,GENE6_047
GENE1_024,GENE2_032,GENE3_034,GENE4_048,GENE5_048,GENE6_048
GENE1_025,GENE2_033,GENE3_035,GENE4_049,GENE5_049,GENE6_049
GENE1_026,GENE2_034,GENE3_036,GENE4_050,GENE5_050,GENE6_050
GENE1_027,GENE2_035,GENE3_037,GENE4_051,GENE5_051,GENE6_051
GENE1_028,GENE2_036,GENE3_038,GENE4_052,GENE5_052,GENE6_052
GENE1_029,GENE2_037,GENE3_039,GENE4_053,GENE5_053,GENE6_053
GENE1_030,GENE2_038,GENE3_040,GENE4_054,GENE5_054,GENE6_054
GENE1_031,GENE2_039,GENE3_041,GENE4_055,GENE5_055,GENE6_055
GENE1_032,GENE2_040,GENE3_042,GENE4_056,GENE5_056,GENE6_056
GENE1_033,GENE2_041,GENE3_043,GENE4_057,GENE5_057,GENE6_057
GENE1_034,GENE2_042,GENE3_044,GENE4_058,GENE5_058,GENE6_058
GENE1_035,GENE2_043,GENE3_045,GENE4_059,GENE5_059,GENE6_059
GENE1_036,GENE2_044,GENE3_046,GENE4_060,GENE5_060,GENE6_060
GENE1_037,GENE2_045,GENE3_047,GENE4_061,GENE5_061,GENE6_061
GENE1_038,GENE2_046,GENE3_048,GENE4_062,GENE5_062,GENE6_062
GENE1_039,GENE2_047,GENE3_049,GENE4_063,GENE5_063,GENE6_063
GENE1_040,GENE2_048,GENE3_050,GENE4_064,GENE5_064,GENE6_064
GENE1_041,GENE2_049,GENE3_051,GENE4_065,GENE5_065,GENE6_065
GENE1_042,GENE2_050,GENE3_052,GENE4_066,GENE5_066,GENE6_066
GENE1_043,GENE2_051,GENE3_053,GENE4_067,GENE5_067,GENE6_067
GENE1_044,GENE2_052,GENE3_054,GENE4_068,GENE5_068,GENE6_068
GENE1_045,GENE2_053,GENE3_055,GENE4_069,GENE5_069,GENE6_069
GENE1_046,GENE2_054,GENE3_056,GENE4_070,GENE5_070,GENE6_070
GENE1_047,GENE2_055,GENE3_057,GENE4_071,GENE5_071,GENE6_071
GENE1_048,GENE2_056,GENE3_058,GENE4_072,GENE5_072,GENE6_072
GENE1_049,GENE2_057,GENE3_059,GENE4_073,GENE5_073,GENE6_073
GENE1_050,GENE2_058,GENE3_060,GENE4_074,GENE5_074,GENE6_074
GENE1_051,GENE2_059,GENE3_061,GENE4_075,GENE5_075,GENE6_075
GENE1_052,GENE2_060,GENE3_062,GENE4_076,GENE5_076,GENE6_076
GENE1_053,GENE2_061,GENE3_063,GENE4_077,GENE5_077,GENE6_077
GENE1_054,GENE2_062,GENE3_064,GENE4_078,GENE5_078,GENE6_078
GENE1_055,GENE2_063,GENE3_065,GENE4_079,GENE5_079,GENE6_079
GENE1_056,GENE2_064,GENE3_066,GENE4_080,GENE5_080,GENE6_080
GENE1_057,GENE2_065,GENE3_067,GENE4_081,GENE5_081,GENE6_081
GENE1_058,GENE2_066,GENE3_068,GENE4_082,GENE5_082,GENE6_082
GENE1_059,GENE2_067,GENE3_069,GENE4_083,GENE5_083,GENE6_083
GENE1_060,GENE2_068,GENE3_070,GENE4_084,GENE5_084,GENE6_084
GENE1_061,GENE2_069,GENE3_071,GENE4_085,GENE5_085,GENE6_085
GENE1_062,GENE2_070,GENE3_072,GENE4_086,GENE5_086,GENE6_086
GENE1_063,GENE2_071,GENE3_073,GENE4_087,GENE5_087,GENE6_087
GENE1_064,GENE2_072,GENE3_074,GENE4_088,GENE5_088,GENE6_088
GENE1_065,GENE2_073,GENE3_075,GENE4_089,GENE5_089,GENE6_089
GENE1_066,GENE2_074,GENE3_076,GENE4_090,GENE5_090,GENE6_090
GENE1_067,GENE2_075,GENE3_077,GENE4_091,GENE5_091,GENE6_091
GENE1_068,GENE2_076,GENE3_078,GENE4_092,GENE5_092,GENE6_092
GENE1_069,GENE2_077,GENE3_079,GENE4_093,GENE5_093,GENE6_093
GENE1_070,GENE2_078,GENE3_080,GENE4_094,GENE5_094,GENE6_094
GENE1_071,GENE2_079,GENE3_081,GENE4_095,GENE5_095,GENE6_095
GENE1_072,GENE2_080,GENE3_082,GENE4_096,GENE5_096,GENE6_096
GENE1_073,GENE2_081,GENE3_083,GENE4_097,GENE5_097,GENE6_097
GENE1_074,GENE2_082,GENE3_084,GENE4_098,GENE5_098,GENE6_098
GENE1_075,GENE2_083,GENE3_085,GENE4_099,GENE5_099,GENE6_099
GENE1_076,GENE2_084,GENE3_086,GENE4_100,GENE5_100,GENE6_100
GENE1_077,GENE2_085,GENE3_087,GENE4_101,GENE5_101,GENE6_101
GENE1_078,GENE2_086,GENE3_088,GENE4_102,GENE5_102,GENE6_102
GENE1_079,GENE2_087,GENE3_089,GENE4_103,GENE5_103,GENE6_103
GENE1_080,GENE2_088,GENE3_090,GENE4_104,GENE5_104,GENE6_104
GENE1_081,GENE2_089,GENE3_091,GENE4_105,GENE5_105,GENE6_105
GENE1_082,GENE2_090,GENE3_092,GENE4_106,GENE5_106,GENE6_106
GENE1_083,GENE2_091,GENE3_093,GENE4_107,GENE5_107,GENE6_107
GENE1_084,GENE2_092,GENE3_094,GENE4_108,GENE5_108,GENE6_108
GENE1_085,GENE2_093,GENE3_095,GENE4_109,GENE5_109,GENE6_109
GENE1_086,GENE2_094,GENE3_096,GENE4_110,GENE5_110,GENE6_110
GENE1_087,GENE2_095,GENE3_097,GENE4_111,GENE5_111,GENE6_111
GENE1_088,GENE2_096,GENE3_098,GENE4_112,GENE5_112,GENE6_112
GENE1_089,GENE2_097,GENE3_099,GENE4_113,GENE5_113,GENE6_113
GENE1_090,GENE2_098,GENE3_100,GENE4_114,GENE5_114,GENE6_114
GENE1_091,GENE2_099,GENE3_101,GENE4_115,GENE5_115,GENE6_115
GENE1_092,GENE2_100,GENE3_102,GENE4_116,GENE5_116,GENE6_116
GENE1_093,GENE2_101,GENE3_103,GENE4_117,GENE5_117,GENE6_117
GENE1_094,GENE2_102,GENE3_104,GENE4_118,GENE5_118,GENE6_118
GENE1_095,GENE2_103,GENE3_105,GENE4_119,GENE5_119,GENE6_119
GENE1_096,GENE2_104,GENE3_106,GENE4_120,GENE5_120,GENE6_120
GENE1_097,GENE2_105,GENE3_107,GENE4_121,GENE5_121,GENE6_121
GENE1_098,GENE2_106,GENE3_108,GENE4_122,GENE5_122,GENE6_122
GENE1_099,GENE2_107,GENE3_109,GENE4_123,GENE5_123,GENE6_123
GENE1_100,GENE2_108,GENE3_110,GENE4_124,GENE5_124,GENE6_124
GENE1_101,GENE2_109,GENE3_111,GENE4_125,GENE5_125,GENE6_125
GENE1_102,GENE2_110,GENE3_112,GENE4_126,GENE5_126,GENE6_126
GENE1_103,GENE2_111,GENE3_113,GENE4_127,GENE5_127,GENE6_127
GENE1_104,GENE2_112,GENE3_114,GENE4_128,GENE5_128,GENE6_128
GENE1_105,GENE2_113,GENE3_115,GENE4_129,GENE5_129,GENE6_129
GENE1_106,GENE2_114,GENE3_116,GENE4_130,GENE5_130,GENE6_130
GENE1_107,GENE2_115,GENE3_117,GENE4_131,GENE5_131,GENE6_131
GENE1_108,GENE2_116,GENE3_118,GENE4_132,GENE5_132,GENE6_132
GENE1_109,GENE2_117,GENE3_119,GENE4_133,GENE5_133,GENE6_133
GENE1_110,GENE2_118,GENE3_120,GENE4_134,GENE5_134,GENE6_134
GENE1_111,GENE2_119,GENE3_121,GENE4_135,GENE5_135,GENE6_135
GENE1_112,GENE2_120,GENE3_122,GENE4_136,GENE5_136,GENE6_136
GENE1_113,GENE2_121,GENE3_123,GENE4_137,GENE5_137,GENE6_137
GENE1_114,GENE2_122,GENE3_124,GENE4_138,GENE5_138,GENE6_138
GENE1_115,GENE2_123,GENE3_125,GENE4_139,GENE5_139,GENE6_139
GENE1_116,GENE2_124,GENE3_126,GENE4_140,GENE5_140,GENE6_140
GENE1_117,GENE2_125,GENE3_127,GENE4_141,GENE5_141,GENE6_141
GENE1_118,GENE2_126,GENE3_128,GENE4_142,GENE5_142,GENE6_142
GENE1_119,GENE2_127,GENE3_129,GENE4_143,GENE5_143,GENE6_143
GENE1_120,GENE2_128,GENE3_130,GENE4_144,GENE5_144,GENE6_144
GENE1_121,GENE2_129,GENE3_131,GENE4_145,GENE5_145,GENE6_145
GENE1_122,GENE2_130,GENE3_132,GENE4_146,GENE5_146,GENE6_146
GENE1_123,GENE2_131,GENE3_133,GENE4_147,GENE5_147,GENE6_147
GENE1_124,GENE2_132,GENE3_134,GENE4_148,GENE5_148,GENE6_148
GENE1_125,GENE2_133,GENE3_135,GENE4_149,GENE5_149,GENE6_149
GENE1_126,GENE2_134,GENE3_136,GENE4_150,GENE5_150,GENE6_150
GENE1_127,GENE2_135,GENE3_137,GENE4_151,GENE5_151,GENE6_151
GENE1_128,GENE2_136,GENE3_138,GENE4_152,GENE5_152,GENE6_152
GENE1_129,GENE2_137,GENE3_139,GENE4_153,GENE5_153,GENE6_153
GENE1_130,GENE2_138,GENE3_140,GENE4_154,GENE5_154,GENE6_154
GENE1_131,GENE2_139,GENE3_141,GENE4_155,GENE5_155,GENE6_155
GENE1_132,GENE2_140,GENE3_142,GENE4_156,GENE5_156,GENE6_156
GENE1_133,GENE2_141,GENE3_143,GENE4_157,GENE5_157,GENE6_157
GENE1_134,GENE2_142,GENE3_144,GENE4_158,GENE5_158,GENE6_158
GENE1_135,GENE2_143,GENE3_145,GENE4_159,GENE5_159,GENE6_159
GENE1_136,GENE2_144,GENE3_146,GENE4_160,GENE5_160,GENE6_160
GENE1_137,GENE2_145,GENE3_147,GENE4_161,GENE5_161,GENE6_161
GENE1_138,GENE2_146,GENE3_148,GENE4_162,GENE5_162,GENE6_162
GENE1_139,GENE2_147,GENE3_149,GENE4_163,GENE5_163,GENE6_163
GENE1_140,GENE2_148,GENE3_150,GENE4_164,GENE5_164,GENE6_164
GENE1_141,GENE2_149,GENE3_151,GENE4_165,GENE5_165,GENE6_165
GENE1_142,GENE2_150,GENE3_152,GENE4_166,GENE5_166,GENE6_166
GENE1_143,GENE2_151,GENE3_153,GENE4_167,GENE5_167,GENE6_167
GENE1_144,GENE2_152,GENE3_154,GENE4_168,GENE5_168,GENE6_168
GENE1_145,GENE2_153,GENE3_155,GENE4_169,GENE5_169,GENE6_169
GENE1_146,GENE2_154,GENE3_156,GENE4_170,GENE5_170,GENE6_170
GENE1_147,GENE2_155,GENE3_157,GENE4_171,GENE5_171,GENE6_171
GENE1_148,GENE2_156,GENE3_158,GENE4_172,GENE5_172,GENE6_172
GENE1_149,GENE2_157,GENE3_159,GENE4_173,GENE5_173,GENE6_173
GENE1_150,GENE2_158,GENE3_160,GENE4_174,GENE5_174,GENE6_174
GENE1_151,GENE2_159,GENE3_161,GENE4_175,GENE5_175,GENE6_175
GENE1_152,GENE2_160,GENE3_162,GENE4_176,GENE5_176,GENE6_176
GENE1_153,GENE2_161,GENE3_163,GENE4_177,GENE5_177,GENE6_177
GENE1_154,GENE2_162,GENE3_164,GENE4_178,GENE5_178,GENE6_178
GENE1_155,GENE2_163,GENE3_165,GENE4_179,GENE5_179,GENE6_179
GENE1_156,GENE2_164,GENE3_166,GENE4_180,GENE5_180,GENE6_180
GENE1_157,GENE2_165,GENE3_167,GENE4_181,GENE5_181,GENE6_181
GENE1_158,GENE2_166,GENE3_168,GENE4_182,GENE5_182,GENE6_182
GENE1_159,GENE2_167,GENE3_169,GENE4_183,GENE5_183,GENE6_183
GENE1_160,GENE2_168,GENE3_170,GENE4_184,GENE5_184,GENE6_184
GENE1_161,GENE2_169,GENE3_171,GENE4_185,GENE5_185,GENE6_185
GENE1_162,GENE2_170,GENE3_172,GENE4_186,GENE5_186,GENE6_186
GENE1_163,GENE2_171,GENE3_173,GENE4_187,GENE5_187,GENE6_187
GENE1_164,GENE2_172,GENE3_174,GENE4_188,GENE5_188,GENE6_188
GENE1_165,GENE2_173,GENE3_175,GENE4_189,GENE5_189,GENE6_189
GENE1_166,GENE2_174,GENE3_176,GENE4_190,GENE5_190,GENE6_190
GENE1_167,GENE2_175,GENE3_177,GENE4_191,GENE5_191,GENE6_191
GENE1_168,GENE2_176,GENE3_178,GENE4_192,GENE5_192,GENE6_192
GENE1_169,GENE2_177,GENE3_179,GENE4_193,GENE5_193,GENE6_193
GENE1_170,GENE2_178,GENE3_180,GENE4_194,GENE5_194,GENE6_194
GENE1_171,GENE2_179,GENE3_181,GENE4_195,GENE5_195,GENE6_195
GENE1_172,GENE2_180,GENE3_182,GENE4_196,GENE5_196,GENE6_196
GENE1_173,GENE2_181,GENE3_183,GENE4_197,GENE5_197,GENE6_197
GENE1_174,GENE2_182,GENE3_184,GENE4_198,GENE5_198,GENE6_198
GENE1_175,GENE2_183,GENE3_185,GENE4_199,GENE5_199,GENE6_199
GENE1_176,GENE2_184,GENE3_186,GENE4_200,GENE5_200,GENE6_200
GENE1_177,GENE2_185,GENE3_187,GENE4_201,GENE5_201,GENE6_201
GENE1_178,GENE2_186,GENE3_188,GENE4_202,GENE5_202,GENE6_202
GENE1_179,GENE2_187,GENE3_189,GENE4_203,GENE5_203,GENE6_203
GENE1_180,GENE2_188,GENE3_190,GENE4_204,GENE5_204,GENE6_204
GENE1_181,GENE2_189,GENE3_191,GENE4_205,GENE5_205,GENE6_205
GENE1_182,GENE2_190,GENE3_192,GENE4_206,GENE5_206,GENE6_206
GENE1_183,GENE2_191,GENE3_193,GENE4_207,GENE5_207,GENE6_207
GENE1_184,GENE2_192,GENE3_194,GENE4_208,GENE5_208,GENE6_208
GENE1_185,GENE2_193,GENE3_195,GENE4_209,GENE5_209,GENE6_209
GENE1_186,GENE2_194,GENE3_196,GENE4_210,GENE5_210,GENE6_210
GENE1_187,GENE2_195,GENE3_197,GENE4_211,GENE5_211,GENE6_211
GENE1_188,GENE2_196,GENE3_198,GENE4_212,GENE5_212,GENE6_212
GENE1_189,GENE2_197,GENE3_199,GENE4_213,GENE5_213,GENE6_213
GENE1_190,GENE2_198,GENE3_200,GENE4_214,GENE5_214,GENE6_214
GENE1_191,GENE2_199,GENE3_201,GENE4_215,GENE5_215,GENE6_215
GENE1_192,GENE2_200,GENE3_202,GENE4_216,GENE5_216,GENE6_216
GENE1_193,GENE2_201,GENE3_203,GENE4_217,GENE5_217,GENE6_217
GENE1_194,GENE2_202,GENE3_204,GENE4_218,GENE5_218,GENE6_218
GENE1_195,GENE2_203,GENE3_205,GENE4_219,GENE5_219,GENE6_219
GENE1_196,GENE2_204,GENE3_206,GENE4_220,GENE5_220,GENE6_220
GENE1_197,GENE2_205,GENE3_207,GENE4_221,GENE5_221,GENE6_221
GENE1_198,GENE2_206,GENE3_208,GENE4_222,GENE5_222,GENE6_222
GENE1_199,GENE2_207,GENE3_209,GENE4_223,GENE5_223,GENE6_223
GENE1_200,GENE2_208,GENE3_210,GENE4_224,GENE5_224,GENE6_224
GENE1_201,GENE2_209,GENE3_211,GENE4_225,GENE5_225,GENE6_225
GENE1_202,GENE2_210,GENE3_212,GENE4_226,GENE5_226,GENE6_226
GENE1_203,GENE2_211,GENE3_213,GENE4_227,GENE5_227,GENE6_227
GENE1_204,GENE2_212,GENE3_214,GENE4_228,GENE5_228,GENE6_228
GENE1_205,GENE2_213,GENE3_215,GENE4_229,GENE5_229,GENE6_229
GENE1_206,GENE2_214,GENE3_216,GENE4_230,GENE5_230,GENE6_230
GENE1_207,GENE2_215,GENE3_217,GENE4_231,GENE5_231,GENE6_231
GENE1_208,GENE2_216,GENE3_218,GENE4_232,GENE5_232,GENE6_232
GENE1_209,GENE2_217,GENE3_219,GENE4_233,GENE5_233,GENE6_233
GENE1_210,GENE2_218,GENE3_220,GENE4_234,GENE5_234,GENE6_234
GENE1_211,GENE2_219,GENE3_221,GENE4_235,GENE5_235,GENE6_235
GENE1_212,GENE2_220,GENE3_222,GENE4_236,GENE5_236,GENE6_236
GENE1_213,GENE2_221,GENE3_223,GENE4_237,GENE5_237,GENE6_237
GENE1_214,GENE2_222,GENE3_224,GENE4_238,GENE5_238,GENE6_238
GENE1_215,GENE2_223,GENE3_225,GENE4_239,GENE5_239,GENE6_239
GENE1_216,GENE2_224,GENE3_226,GENE4_240,GENE5_240,GENE6_240
GENE1_217,GENE2_225,GENE3_227,GENE4_241,GENE5_241,GENE6_241
GENE1_218,GENE2_226,GENE3_228,GENE4_242,GENE5_242,GENE6_242
GENE1_219,GENE2_227,GENE3_229,GENE4_243,GENE5_243,GENE6_243
GENE1_220,GENE2_228,GENE3_230,GENE4_244,GENE5_244,GENE6_244
GENE1_221,GENE2_229,GENE3_231,GENE4_245,GENE5_245,GENE6_245
GENE1_222,GENE2_230,GENE3_232,GENE4_246,GENE5_246,GENE6_246
GENE1_223,GENE2_231,GENE3_233,GENE4_247,GENE5_247,GENE6_247
GENE1_224,GENE2_232,GENE3_234,GENE4_248,GENE5_248,GENE6_248
GENE1_225,GENE2_233,GENE3_235,GENE4_249,GENE5_249,GENE6_249
GENE1_226,GENE2_234,GENE3_236,GENE4_250,GENE5_250,GENE6_250
GENE1_227,GENE2_235,GENE3_237,GENE4_251,GENE5_251,GENE6_251
GENE1_228,GENE2_236,GENE3_238,GENE4_252,GENE5_252,GENE6_252
GENE1_229,GENE2_237,GENE3_239,GENE4_253,GENE5_253,GENE6_253
GENE1_230,GENE2_238,GENE3_240,GENE4_254,GENE5_254,GENE6_254
GENE1_231,GENE2_239,GENE3_241,GENE4_255,GENE5_255,GENE6_255
GENE1_232,GENE2_240,GENE3_242,GENE4_256,GENE5_256,GENE6_256
GENE1_233,GENE2_241,GENE3_243,GENE4_257,GENE5_257,GENE6_257
GENE1_234,GENE2_242,GENE3_244,GENE4_258,GENE5_258,GENE6_258
GENE1_235,GENE2_243,GENE3_245,GENE4_259,GENE5_259,GENE6_259
GENE1_236,GENE2_244,GENE3_246,GENE4_260,GENE5_260,GENE6_260
GENE1_237,GENE2_245,GENE3_247,GENE4_261,GENE5_261,GENE6_261
GENE1_238,GENE2_246,GENE3_248,GENE4_262,GENE5_262,GENE6_262
GENE1_239,GENE2_247,GENE3_249,GENE4_263,GENE5_263,GENE6_263
GENE1_240,GENE2_248,GENE3_250,GENE4_264,GENE5_264,GENE6_264
GENE1_241,GENE2_249,GENE3_251,GENE4_265,GENE5_265,GENE6_265
GENE1_242,GENE2_250,GENE3_252,GENE4_266,GENE5_266,GENE6_266
GENE1_243,GENE2_251,GENE3_253,GENE4_267,GENE5_267,GENE6_267
GENE1_244,GENE2_252,GENE3_254,GENE4_268,GENE5_268,GENE6_268
GENE1_245,GENE2_253,GENE3_255,GENE4_269,GENE5_269,GENE6_269
GENE1_246,GENE2_254,GENE3_256,GENE4_270,GENE5_270,GENE6_270
GENE1_247,GENE2_255,GENE3_257,GENE4_271,GENE5_271,GENE6_271
GENE1_248,GENE2_256,GENE3_258,GENE4_272,GENE5_272,GENE6_272
GENE1_249,GENE2_257,GENE3_259,GENE4_273,GENE5_273,GENE6_273
GENE1_250,GENE2_258,GENE3_260,GENE4_274,GENE5_274,GENE6_274
GENE1_251,GENE2_259,GENE3_261,GENE4_275,GENE5_275,GENE6_275
GENE1_252,GENE2_260,GENE3_262,GENE4_276,GENE5_276,GENE6_276
GENE1_253,GENE2_261,GENE3_263,GENE4_277,GENE5_277,GENE6_277
GENE1_254,GENE2_262,GENE3_264,GENE4_278,GENE5_278,GENE6_278
